S. No.,Lattitude,Longitude,Pothole,Severity,Ranking
420,12.8783 ,77.6960,28,2,58
433,12.9410 ,77.7238,27,4,52
440,12.9411 ,77.6975,16,4,77
448,13.0317 ,77.6786,15,5,63
452,12.8967 ,77.6118,17,5,66
455,12.9396 ,77.5264,28,4,57
459,13.0961 ,77.5925,28,1,55
474,12.8657 ,77.5597,32,1,54
478,12.8930 ,77.6171,15,5,67
499,12.8846 ,77.5508,18,2,68
508,13.0144 ,77.5573,15,5,59
514,12.9682 ,77.7236,23,2,65
515,13.0277 ,77.6925,31,1,69
527,12.8972 ,77.7491,34,4,72
531,13.0413 ,77.7039,20,2,55
535,13.0624 ,77.6219,32,2,75
547,13.0938 ,77.5139,35,1,59
560,12.9869 ,77.5287,30,2,57
579,12.8693 ,77.7207,22,1,77
584,13.0104 ,77.7452,35,1,68
591,13.0624 ,77.7076,32,5,56
597,12.9948 ,77.6280,30,3,55
598,12.9161 ,77.5586,16,1,71
616,13.0088 ,77.4920,27,2,75
617,13.0972 ,77.7092,27,3,54
621,12.9261 ,77.7226,32,2,69
625,13.0943 ,77.5268,17,1,75
626,13.0206 ,77.5301,35,3,56
629,13.0641 ,77.5603,33,3,52
633,12.8679 ,77.6483,21,3,66
658,12.9208 ,77.6776,24,3,62
660,12.8412 ,77.6432,27,3,65
676,13.0555 ,77.6564,27,4,65
683,12.9362 ,77.6235,25,5,66
695,12.9750 ,77.6121,17,5,70
698,12.9094 ,77.5021,15,3,72
708,12.9326 ,77.6314,33,5,75
709,12.9938 ,77.6023,31,3,60
710,13.0469 ,77.4933,21,4,73
713,13.0413 ,77.6166,16,4,68
724,12.8956 ,77.7246,22,4,74
729,12.8574 ,77.5216,30,2,60
740,12.8708 ,77.6893,17,4,66
748,13.0372 ,77.4968,29,2,55
777,12.9170 ,77.7290,19,4,72
795,12.8697 ,77.6749,21,2,75
801,13.0131 ,77.6730,22,3,69
819,12.9208 ,77.7136,35,5,59
821,12.9607 ,77.6478,28,2,76
823,12.9154 ,77.5182,24,1,78
824,12.9117 ,77.5242,22,1,61
827,13.0915 ,77.5731,29,3,54
831,13.0132 ,77.6018,30,2,54
835,13.0477 ,77.7319,20,1,67
839,12.8411 ,77.6367,19,3,66
851,13.0326 ,77.7211,32,1,67
852,12.9590 ,77.5578,27,2,78
857,12.8681 ,77.5013,27,5,63
869,13.0810 ,77.6794,20,3,78
889,12.9014 ,77.6263,22,4,77
897,12.9971 ,77.7359,15,5,55
899,13.0382 ,77.6631,25,2,66
910,13.0322 ,77.5300,32,3,68
930,12.9302 ,77.6232,17,3,53
935,13.0155 ,77.6953,19,5,70
937,13.0291 ,77.6322,27,5,64
953,13.0763 ,77.6738,32,3,76
961,12.9937 ,77.5315,34,1,76
962,12.8450 ,77.5575,24,5,56
963,12.9867 ,77.6097,17,3,56
973,13.0112 ,77.6386,24,1,66
989,12.8869 ,77.5566,18,5,67
999,13.0726 ,77.6085,19,4,53
1001,12.8540 ,77.7257,22,2,61
1014,13.0734 ,77.6700,30,5,55
1015,13.0134 ,77.6673,15,3,57
1018,12.9922 ,77.5381,23,3,70
1029,12.9150 ,77.6431,30,4,61
1032,13.0973 ,77.7035,27,3,53
1035,13.0795 ,77.7336,27,2,72
1039,12.8744 ,77.5836,20,2,60
1044,12.9449 ,77.5221,26,2,70
1060,13.0891 ,77.5614,21,5,62
1063,12.9034 ,77.7088,22,5,72
1067,12.8769 ,77.5124,32,4,55
1075,12.9753 ,77.5014,20,5,69
1079,12.8924 ,77.5085,19,2,73
1081,12.9762 ,77.5829,29,4,77
1087,13.0370 ,77.5344,16,2,73
1120,12.9231 ,77.6626,34,1,75
1144,13.0097 ,77.7335,31,4,69
1147,12.9276 ,77.6317,34,3,77
1163,12.9020 ,77.5152,33,3,54
1204,12.9961 ,77.4992,23,2,70
1210,12.9355 ,77.5882,22,5,69
1212,12.9989 ,77.7149,35,4,65
1235,13.0052 ,77.5278,29,5,76
1254,13.0055 ,77.6379,23,5,65
1255,13.0560 ,77.4920,21,1,67
1256,12.8808 ,77.5241,31,3,78
1271,13.0895 ,77.4962,18,3,71
1289,12.9124 ,77.6858,24,1,78
1304,12.8852 ,77.6988,32,3,70
1343,12.8792 ,77.6240,25,3,61
1347,13.0489 ,77.6768,26,1,78
1351,12.8404 ,77.6668,24,4,77
1384,12.9333 ,77.5918,23,3,69
1391,13.0510 ,77.6684,32,2,59
1397,12.9805 ,77.4881,27,5,57
1400,13.0889 ,77.5568,32,2,68
1401,12.8465 ,77.5100,27,1,65
1405,13.0470 ,77.5063,20,5,54
1486,13.0121 ,77.7436,17,2,66
1490,13.0678 ,77.6008,20,5,71
1494,13.0773 ,77.6398,21,4,70
1513,13.0080 ,77.6635,34,4,55
1516,12.9629 ,77.6450,19,1,67
1521,13.0037 ,77.6906,30,2,70
1539,12.9550 ,77.5569,20,5,62
1540,12.9474 ,77.6055,18,2,78
1543,12.8458 ,77.4971,15,2,76
1548,13.0869 ,77.6353,18,3,60
1553,12.9690 ,77.5046,24,1,54
1560,13.0858 ,77.6668,18,2,63
1563,13.0710 ,77.7139,23,4,55
1581,12.9395 ,77.6192,28,3,74
1596,13.0878 ,77.6919,20,5,70
1605,13.0893 ,77.4850,21,3,52
1627,12.9387 ,77.6916,27,4,53
1628,12.8793 ,77.7422,25,5,55
1636,12.9425 ,77.5143,29,4,55
1648,12.9497 ,77.5836,32,2,55
1655,12.9380 ,77.7218,20,5,67
1679,12.9317 ,77.6188,35,5,58
1693,12.9964 ,77.7435,18,3,61
1713,12.9261 ,77.6207,27,4,60
1714,12.8813 ,77.6103,32,1,62
1717,13.0156 ,77.7471,27,1,52
1718,13.0413 ,77.4830,30,2,77
1745,12.8547 ,77.5763,16,3,76
1768,12.8416 ,77.5316,15,3,73
1775,13.0288 ,77.7144,23,4,53
1777,12.9964 ,77.5572,32,5,53
1787,12.9943 ,77.7008,22,2,66
1788,12.9094 ,77.5355,20,4,68
1793,12.9123 ,77.7468,23,5,75
1794,13.0770 ,77.6335,20,2,64
1795,13.0547 ,77.7274,33,3,72
1801,12.9853 ,77.7205,25,3,66
1809,12.9757 ,77.6416,28,2,56
1848,12.8950 ,77.6294,32,2,71
1857,13.0959 ,77.6922,23,4,56
1878,12.8563 ,77.4859,25,1,61
1879,12.9032 ,77.4866,20,1,78
1889,13.0972 ,77.5929,16,3,68
1898,12.8964 ,77.7066,24,5,76
1905,13.0218 ,77.7135,33,5,73
1909,13.0415 ,77.5714,19,2,70
1930,12.8428 ,77.5428,28,1,72
1939,13.0406 ,77.5287,21,1,77
1940,12.9474 ,77.6211,34,3,68
1941,13.0646 ,77.7226,22,5,58
1945,12.9394 ,77.6472,22,2,73
1948,13.0945 ,77.6907,35,4,76
1952,13.0679 ,77.5725,16,2,52
1960,13.0036 ,77.5719,19,4,66
1966,12.9862 ,77.6025,31,2,60
1979,12.9749 ,77.6239,16,5,69
1991,12.9184 ,77.7341,27,2,78
1998,12.8526 ,77.6459,18,3,69
2025,12.8998 ,77.5609,25,5,76
2026,13.0043 ,77.5786,21,2,60
2027,13.0372 ,77.6605,23,2,65
2033,13.0230 ,77.6424,34,4,55
2041,12.8497 ,77.5398,20,2,67
2052,13.0030 ,77.6022,32,3,54
2064,12.9795 ,77.5747,18,5,57
2089,13.0395 ,77.5870,25,1,74
2099,13.0648 ,77.6316,15,3,78
2106,12.9644 ,77.5541,22,5,68
2112,12.9450 ,77.7166,16,1,78
2114,13.0737 ,77.4875,24,3,54
2119,12.9214 ,77.6122,28,3,59
2123,12.8665 ,77.5893,29,5,69
2129,13.0496 ,77.5543,24,2,68
2137,13.0756 ,77.6480,16,2,53
2157,12.9483 ,77.7173,26,3,72
2162,13.0127 ,77.6371,33,2,74
2173,12.9107 ,77.6991,18,3,78
2190,12.8873 ,77.5318,26,1,62
2191,12.9892 ,77.5975,35,1,62
2227,12.8476 ,77.6473,26,1,67
2230,13.0429 ,77.5066,29,4,73
2231,12.9084 ,77.7076,31,4,60
2239,13.0826 ,77.6004,20,5,53
2267,12.9181 ,77.5060,19,4,78
2291,12.9439 ,77.5435,28,2,60
2297,13.0728 ,77.6040,34,5,70
2300,12.8891 ,77.5805,31,1,60
2305,13.0415 ,77.6165,35,5,72
2312,12.8780 ,77.7101,30,1,67
2313,13.0319 ,77.4833,31,1,53
2354,13.0695 ,77.6467,31,1,58
2363,12.9254 ,77.7238,24,4,70
2370,13.0013 ,77.6016,24,1,65
2371,12.8657 ,77.6782,28,4,62
2389,12.8983 ,77.6925,33,3,67
2391,12.8656 ,77.5106,23,3,78
2424,13.0059 ,77.6077,28,4,61
2432,12.8630 ,77.5523,16,4,55
2440,12.8674 ,77.6273,20,1,76
2454,12.9740 ,77.6542,22,4,55
2483,12.9736 ,77.7249,16,4,67
2504,12.8940 ,77.7150,28,4,75
2506,12.8798 ,77.5514,16,2,67
2518,13.0486 ,77.6610,29,5,65
2524,12.9056 ,77.5633,30,1,65
2525,13.0860 ,77.5147,28,2,52
2541,12.8694 ,77.7086,18,3,72
2546,12.9807 ,77.5090,33,1,55
2547,12.9944 ,77.5399,35,2,52
2548,12.8842 ,77.6381,32,1,59
2592,12.9070 ,77.5205,15,4,54
2598,12.9080 ,77.7468,16,3,71
2612,13.0151 ,77.6900,20,3,57
2674,12.9223 ,77.7329,25,1,63
2685,12.8546 ,77.6539,22,3,69
2700,12.9023 ,77.5821,27,1,57
2704,12.8807 ,77.5286,27,4,63
2706,12.9201 ,77.5055,35,1,54
2718,12.8495 ,77.5106,22,5,64
2726,13.0540 ,77.6051,28,1,74
2728,12.9178 ,77.5782,25,3,59
2729,13.0395 ,77.6323,30,3,75
2735,12.9909 ,77.6447,21,3,68
2738,13.0140 ,77.5434,32,5,73
2761,12.8743 ,77.7117,19,4,70
2762,13.0244 ,77.6573,15,3,67
2770,13.0001 ,77.6052,21,3,73
2779,12.9321 ,77.5795,26,5,69
2781,13.0234 ,77.5868,22,1,70
2794,12.9896 ,77.6584,34,2,76
2796,12.9804 ,77.7102,35,5,67
2799,13.0771 ,77.6159,16,4,52
2814,13.0180 ,77.5822,20,3,55
2815,13.0614 ,77.5221,34,4,61
2820,13.0412 ,77.6425,16,2,54
2821,13.0375 ,77.5608,23,5,60
2824,13.0839 ,77.5520,22,2,52
2827,13.0032 ,77.7320,18,4,68
2841,13.0661 ,77.5163,21,5,63
2860,12.8401 ,77.5994,31,5,75
2862,12.8651 ,77.5069,31,4,63
2872,12.8683 ,77.6050,25,5,78
2879,13.0143 ,77.6930,16,5,60
2886,13.0764 ,77.7203,18,4,69
2890,13.0983 ,77.6822,33,4,57
2901,13.0254 ,77.6798,33,4,76
2903,12.8848 ,77.5064,31,1,72
2913,12.8414 ,77.5050,29,1,66
2920,13.0762 ,77.5662,26,1,72
2925,13.0147 ,77.7345,29,2,75
2928,13.0986 ,77.7143,30,1,75
2939,12.8667 ,77.6453,31,4,62
2945,12.8873 ,77.5992,15,1,60
2947,13.0187 ,77.5042,29,5,75
2956,12.9331 ,77.7270,25,5,59
2960,12.9487 ,77.6136,16,2,65
2962,13.0726 ,77.5736,32,2,70
2974,12.9011 ,77.5728,32,2,72
2980,13.0612 ,77.7359,19,2,55
2982,12.9245 ,77.6156,17,4,57
2996,12.9845 ,77.6251,27,5,72
3003,13.0540 ,77.5284,22,1,52
3017,13.0635 ,77.6083,19,1,73
3023,12.9865 ,77.7469,30,3,76
3042,13.0284 ,77.6378,33,1,68
3047,13.0716 ,77.7090,35,1,76
3049,12.8623 ,77.4840,17,2,70
3053,13.0256 ,77.5415,20,2,76
3056,13.0952 ,77.6685,27,2,77
3066,12.9780 ,77.5716,23,4,68
3081,12.8634 ,77.5513,27,5,72
3100,12.9387 ,77.4912,29,1,67
3101,12.9333 ,77.5814,34,5,55
3127,12.9025 ,77.6602,31,5,70
3148,13.0040 ,77.6058,28,3,66
3152,12.9547 ,77.5477,17,3,68
3173,12.8506 ,77.5351,25,2,66
3174,12.9973 ,77.5609,23,4,69
3178,12.9948 ,77.6695,33,3,53
3189,12.9963 ,77.6540,23,5,57
3209,12.9580 ,77.6009,15,1,63
3224,12.8968 ,77.6332,22,4,68
3232,12.9483 ,77.7042,15,4,76
3243,12.8965 ,77.5711,33,2,64
3248,12.8460 ,77.6991,20,1,56
3252,12.9426 ,77.5195,23,5,72
3262,12.8862 ,77.5316,23,2,76
3270,13.0101 ,77.7444,25,3,72
3271,13.0184 ,77.6155,31,5,57
3288,13.0845 ,77.5049,22,2,63
3293,12.8971 ,77.6807,27,5,67
3301,13.0711 ,77.4900,23,1,66
3302,13.0845 ,77.7251,16,5,74
3307,12.8963 ,77.6878,26,2,56
3318,12.8654 ,77.5201,29,3,77
3321,12.9258 ,77.6623,25,5,77
3342,13.0214 ,77.5366,25,3,59
3344,12.9676 ,77.5440,34,1,54
3390,12.8475 ,77.4906,23,4,58
3393,13.0755 ,77.4954,20,2,67
3400,12.9293 ,77.5951,28,4,53
3401,12.9655 ,77.5948,34,5,75
3426,12.9761 ,77.5157,16,4,56
3433,13.0829 ,77.6359,28,1,72
3438,12.8449 ,77.5736,27,5,66
3442,12.9112 ,77.7463,23,3,77
3448,12.9437 ,77.7289,34,1,65
3450,12.8798 ,77.6282,31,5,78
3460,12.9703 ,77.4941,15,4,64
3466,13.0290 ,77.7442,17,3,69
3470,12.8457 ,77.7164,34,2,63
3480,12.9662 ,77.6504,31,1,72
3481,13.0936 ,77.5390,34,5,74
3486,13.0191 ,77.7132,21,4,66
3493,13.0045 ,77.6154,24,1,72
3499,12.8469 ,77.4854,18,2,52
3517,12.9698 ,77.5313,34,1,75
3518,13.0826 ,77.6791,20,1,70
3523,13.0715 ,77.5080,16,1,74
3525,12.8463 ,77.6767,28,4,69
3535,12.9243 ,77.6876,16,5,60
3537,12.9228 ,77.5085,28,3,52
3541,13.0472 ,77.4838,29,3,75
3542,12.9320 ,77.4861,25,3,66
3564,13.0104 ,77.6472,35,1,63
3577,12.8935 ,77.5896,24,1,68
3586,13.0433 ,77.6113,28,3,57
3594,13.0228 ,77.5891,20,3,63
3623,12.8502 ,77.6675,21,3,54
3648,13.0926 ,77.6993,32,1,73
3654,12.8462 ,77.5486,20,3,70
3657,12.8452 ,77.5034,32,1,69
3671,12.9017 ,77.6130,31,2,58
3692,12.9751 ,77.6041,26,4,66
3693,12.9864 ,77.5521,19,5,78
3695,13.0578 ,77.5772,35,1,73
3699,13.0898 ,77.6302,35,5,55
3700,12.9883 ,77.5519,20,1,55
3701,12.9579 ,77.5446,22,2,65
3716,12.9847 ,77.5627,27,1,58
3719,13.0434 ,77.6139,29,4,52
3722,13.0943 ,77.5799,17,5,78
3727,12.9774 ,77.6441,35,5,65
3731,12.8449 ,77.5704,34,1,71
3732,12.9563 ,77.5718,24,2,59
3739,13.0695 ,77.5634,27,4,70
3742,12.9268 ,77.6854,26,3,66
3763,13.0313 ,77.6675,16,2,64
3775,12.9087 ,77.5940,16,4,67
3852,12.8685 ,77.5782,34,4,53
3855,13.0228 ,77.7211,28,1,73
3857,13.0811 ,77.5941,27,5,57
3860,12.9503 ,77.5283,24,4,72
3861,12.9964 ,77.5319,21,4,66
3887,12.8591 ,77.7318,15,2,54
3888,12.9897 ,77.6631,31,5,67
3891,13.0776 ,77.5602,33,4,75
3900,12.8954 ,77.7033,15,2,66
3911,13.0253 ,77.6161,35,2,54
3933,12.9026 ,77.6032,32,1,63
3934,12.9570 ,77.5518,15,1,63
3938,12.8489 ,77.5874,16,1,73
3940,12.8944 ,77.6465,31,4,76
3958,13.0084 ,77.5413,17,4,55
3963,13.0512 ,77.5156,28,2,73
3981,13.0862 ,77.6408,20,3,54
3982,13.0535 ,77.6698,32,3,52
4010,12.8984 ,77.7424,24,5,68
4017,12.9122 ,77.7465,35,5,69
4018,12.8964 ,77.7252,34,4,72
4029,12.8527 ,77.7020,34,3,67
4051,12.8416 ,77.7001,20,3,78
4053,13.0013 ,77.5150,33,3,65
4060,13.0959 ,77.5918,23,5,53
4089,12.8692 ,77.6304,19,2,65
4092,12.9241 ,77.7270,28,4,56
4097,12.8947 ,77.7127,15,3,75
4098,12.9914 ,77.5668,29,5,54
4101,13.0712 ,77.7079,26,2,64
4103,12.8653 ,77.4946,15,4,58
4121,12.9976 ,77.5195,22,2,54
4155,12.8776 ,77.6268,27,3,57
4158,13.0534 ,77.6740,20,5,71
4163,12.8659 ,77.6545,35,5,78
4170,12.8941 ,77.6831,16,5,58
4171,12.8944 ,77.5302,33,5,70
4173,12.9692 ,77.6097,28,3,59
4188,12.8767 ,77.6794,24,3,55
4198,12.9168 ,77.6682,26,4,68
4202,12.9101 ,77.7361,34,4,61
4205,12.9965 ,77.4970,29,5,78
4212,12.8513 ,77.5913,17,5,62
4215,13.0988 ,77.6024,32,2,59
4225,13.0643 ,77.5691,23,4,55
4246,12.9830 ,77.7402,25,1,77
4254,12.9401 ,77.6081,23,2,54
4258,12.9964 ,77.6148,25,4,77
4271,12.8837 ,77.7248,32,3,52
4276,12.8422 ,77.6629,35,4,66
4279,13.0952 ,77.7453,15,2,59
4284,12.8460 ,77.5563,34,5,57
4298,12.8730 ,77.6920,19,1,74
4303,12.8831 ,77.5231,30,3,69
4332,12.9048 ,77.6021,25,1,67
4339,13.0529 ,77.6303,25,3,76
4345,12.9712 ,77.7161,24,2,68
4347,12.9564 ,77.6371,17,2,65
4363,12.8549 ,77.7411,24,1,67
4369,13.0804 ,77.6126,30,3,53
4375,12.9138 ,77.6708,19,5,63
4379,12.9106 ,77.6039,29,5,66
4382,12.8543 ,77.6831,23,5,78
4390,12.8950 ,77.5218,18,4,76
4398,12.8881 ,77.7290,15,5,73
4401,13.0791 ,77.7410,17,5,70
4415,12.9695 ,77.6327,34,3,65
4419,13.0225 ,77.7367,21,4,76
4430,12.8746 ,77.6662,24,2,54
4431,13.0015 ,77.6276,26,5,77
4444,12.8542 ,77.5562,20,5,65
4462,12.9716 ,77.5236,31,5,78
4469,12.9526 ,77.7450,30,2,55
4470,13.0447 ,77.5949,21,2,56
4476,12.8610 ,77.6645,25,4,58
4483,12.9207 ,77.5500,30,1,67
4488,13.0147 ,77.5886,32,3,56
4502,12.9952 ,77.5062,16,3,64
4503,12.8503 ,77.5503,16,4,73
4518,12.8567 ,77.5192,30,1,62
4531,12.9446 ,77.7384,31,3,68
4537,12.8594 ,77.6254,29,1,55
4545,12.8735 ,77.6715,24,1,58
4548,13.0549 ,77.4931,30,3,55
4550,12.8608 ,77.6754,21,5,64
4574,12.9631 ,77.6302,32,4,62
4584,12.8410 ,77.5500,23,2,58
4586,13.0243 ,77.5545,29,4,56
4593,12.8421 ,77.6443,32,3,69
4642,13.0248 ,77.5180,22,2,59
4652,12.9828 ,77.6446,22,4,60
4655,12.9528 ,77.7111,30,2,59
4656,12.9993 ,77.5727,30,5,69
4691,12.9801 ,77.7425,17,1,65
4692,12.9735 ,77.5120,16,5,78
4699,13.0625 ,77.5318,20,2,55
4700,12.9756 ,77.7149,15,5,77
4701,12.9764 ,77.5638,30,4,54
4702,13.0690 ,77.7463,31,5,56
4715,12.8854 ,77.5062,24,5,60
4721,12.9548 ,77.6174,24,4,63
4730,13.1001 ,77.7047,21,3,62
4733,12.8454 ,77.4951,24,4,77
4751,12.9001 ,77.6505,27,4,56
4769,13.0440 ,77.5430,26,5,65
4772,12.9790 ,77.7047,15,5,53
4794,13.1001 ,77.5502,22,4,65
4819,12.9324 ,77.6471,18,4,58
4820,12.9524 ,77.7045,30,1,63
4858,13.0382 ,77.5383,28,5,65
4861,12.9638 ,77.7037,30,1,76
4876,13.0948 ,77.6693,18,4,72
4884,13.0613 ,77.4869,18,1,52
4893,12.8825 ,77.5979,24,5,67
4895,13.0173 ,77.7284,27,2,63
4904,12.8854 ,77.6451,22,5,65
4909,12.9697 ,77.5250,22,5,64
4913,13.0000 ,77.6943,18,5,71
4915,12.9393 ,77.5282,15,5,56
4926,12.9283 ,77.6150,32,4,68
4938,13.0477 ,77.5529,18,2,73
4960,12.9184 ,77.7467,27,3,78
4961,12.9869 ,77.6579,32,3,57
4971,13.0014 ,77.6438,22,4,71
4994,12.9222 ,77.5952,34,5,58
5010,12.9904 ,77.6900,34,5,70
5014,13.0015 ,77.5951,25,1,67
5015,13.0266 ,77.6922,17,5,55
5027,12.9498 ,77.5961,18,4,60
5034,12.9468 ,77.6643,21,1,58
5035,12.9063 ,77.5989,32,5,53
5038,12.9154 ,77.6609,27,2,54
5039,13.0210 ,77.7222,31,3,69
5040,12.9723 ,77.7026,24,1,63
5064,13.0467 ,77.6943,34,4,53
5083,13.0892 ,77.7138,18,4,71
5089,12.8620 ,77.6877,17,2,56
5095,12.9023 ,77.6992,15,2,60
5105,12.9958 ,77.7090,28,3,73
5112,12.9463 ,77.6829,26,4,73
5116,12.9583 ,77.6597,35,3,57
5131,13.0956 ,77.6033,35,1,69
5135,13.0472 ,77.5226,27,4,73
5139,12.8801 ,77.4874,20,5,75
5146,12.9181 ,77.7301,32,3,76
5158,13.0594 ,77.6524,35,1,76
5173,12.9594 ,77.7261,23,3,60
5175,13.0205 ,77.6404,31,4,68
5178,12.9659 ,77.5542,31,2,75
5191,13.0654 ,77.5493,27,1,61
5195,13.0761 ,77.7036,33,3,70
5199,12.9305 ,77.6503,18,2,55
5201,12.9065 ,77.5405,15,2,58
5205,12.8791 ,77.6510,27,2,78
5217,12.9629 ,77.7263,17,5,65
5238,13.0527 ,77.6196,20,3,56
5246,13.0068 ,77.7279,23,3,67
5251,12.9067 ,77.6175,35,5,54
5252,12.9729 ,77.6098,26,1,59
5257,12.8813 ,77.5717,30,2,63
5304,12.9386 ,77.5048,21,1,60
5305,12.8921 ,77.5718,23,2,59
5341,13.0350 ,77.4828,18,1,54
5356,12.9338 ,77.6013,30,1,74
5360,13.0981 ,77.5125,34,2,75
5379,12.9284 ,77.5789,20,4,68
5381,12.9854 ,77.5105,18,4,55
5388,12.8771 ,77.4966,21,4,74
5390,12.9528 ,77.6970,32,2,78
5406,13.0543 ,77.6284,35,5,70
5418,13.0801 ,77.5522,35,2,71
5422,12.8528 ,77.6063,20,4,71
5423,12.8881 ,77.5578,20,1,52
5427,12.9705 ,77.4862,15,4,74
5442,13.0167 ,77.5959,23,3,72
5443,12.9132 ,77.5111,33,3,58
5465,12.9603 ,77.6574,32,4,60
5470,12.8764 ,77.7248,34,1,56
5475,12.9910 ,77.6562,35,4,67
5492,12.9882 ,77.5989,27,1,78
5497,12.9679 ,77.5815,18,3,58
5538,13.0333 ,77.7145,26,4,56
5541,13.0340 ,77.6999,35,3,52
5551,12.9372 ,77.4966,35,3,68
5554,13.0136 ,77.5237,33,4,71
5568,12.9582 ,77.5971,29,4,60
5576,13.0826 ,77.6471,33,1,57
5587,13.0372 ,77.5222,19,3,67
5591,12.9612 ,77.7413,19,3,63
5593,12.8611 ,77.6215,25,1,59
5600,12.9042 ,77.5779,18,5,71
5612,13.0169 ,77.6515,32,2,60
5614,12.8437 ,77.7166,20,3,75
5626,12.9590 ,77.6147,19,4,54
5638,12.9715 ,77.5695,35,1,65
5647,12.8413 ,77.5359,28,1,69
5673,12.9807 ,77.6099,30,5,57
5677,12.9757 ,77.5330,31,2,55
5678,12.9096 ,77.6344,22,5,75
5687,13.0759 ,77.6349,20,4,75
5693,12.9606 ,77.6030,21,5,70
5696,13.0013 ,77.5102,18,3,76
5700,12.9711 ,77.5133,29,1,70
5715,12.8956 ,77.5735,29,5,58
5718,13.0839 ,77.6574,18,2,67
5735,12.8628 ,77.6692,19,2,52
5752,13.0158 ,77.6817,16,1,53
5763,13.0613 ,77.6145,22,1,72
5771,13.0249 ,77.6883,26,3,68
5783,12.9239 ,77.4831,28,1,70
5797,12.8517 ,77.6970,27,4,59
5815,12.9047 ,77.5930,28,1,70
5817,12.8926 ,77.5210,20,1,78
5836,12.9606 ,77.5446,27,2,70
5846,13.0933 ,77.6382,27,1,55
5847,12.9594 ,77.6122,24,1,59
5861,13.0264 ,77.7283,32,3,62
5867,12.9235 ,77.5127,23,2,59
5895,13.0643 ,77.5358,18,2,68
5896,12.8865 ,77.4875,30,5,53
5904,12.9591 ,77.6099,15,1,69
5931,12.9372 ,77.5516,29,5,75
5957,13.0350 ,77.7259,30,1,73
5964,13.0953 ,77.7089,28,4,54
5988,12.8929 ,77.6612,15,5,71
5995,12.9497 ,77.6746,35,2,67
5997,12.8815 ,77.6696,22,4,65
6008,12.9670 ,77.6619,25,4,77
6011,12.9535 ,77.7259,28,2,58
6020,12.9743 ,77.6196,25,5,64
6028,13.0646 ,77.5476,35,2,69
6041,12.9881 ,77.4932,31,2,71
6044,13.0301 ,77.4938,21,3,77
6062,12.9073 ,77.7211,32,5,55
6085,12.8818 ,77.7072,32,2,67
6091,13.0342 ,77.6969,27,3,69
6109,13.0159 ,77.6816,32,5,70
6112,12.9204 ,77.5356,27,3,76
6141,12.8760 ,77.4976,16,2,59
6158,12.8815 ,77.7471,29,3,61
6165,13.0253 ,77.6372,27,5,54
6169,12.9837 ,77.6639,30,3,60
6203,13.0031 ,77.5979,20,1,71
6207,13.0866 ,77.6257,18,2,63
6211,12.9976 ,77.6029,23,5,62
6216,12.9945 ,77.7321,32,4,66
6245,12.9736 ,77.6883,28,4,61
6266,12.9394 ,77.5624,21,3,70
6271,12.8624 ,77.5383,15,4,73
6284,13.0220 ,77.6788,17,5,74
6304,13.0145 ,77.5085,35,4,71
6311,12.9483 ,77.6714,26,4,56
6313,13.0533 ,77.5082,21,3,60
6329,12.9262 ,77.5164,34,5,73
6359,12.9078 ,77.6589,23,4,73
6380,12.8582 ,77.5938,24,4,62
6398,12.8684 ,77.5523,18,2,55
6422,12.9822 ,77.5164,21,1,65
