sno,latitude,longitude,pothole,rating
72,13.0573 ,77.7154,24,9
73,12.9102 ,77.5159,24,8
74,12.9515 ,77.7314,35,5
75,13.0621 ,77.4828,28,5
76,12.9808 ,77.6317,31,7
77,13.0176 ,77.6865,20,5
78,13.0182 ,77.6715,26,5
79,13.0251 ,77.4925,19,7
80,12.9195 ,77.5187,15,1
81,13.0262 ,77.5683,34,3
82,13.0488 ,77.5981,16,7
83,13.0920 ,77.6840,29,3
84,12.9213 ,77.5909,32,6
85,13.0054 ,77.6762,32,7
86,12.8640 ,77.6848,28,1
87,12.8768 ,77.4991,23,6
88,12.9207 ,77.5865,32,1
89,13.0454 ,77.5672,29,5
90,13.0635 ,77.5302,19,1
91,12.9040 ,77.5564,31,7
92,12.9096 ,77.5751,32,2
93,13.0917 ,77.5147,16,9
94,12.9084 ,77.5934,33,1
95,12.8799 ,77.6352,35,6
96,12.9537 ,77.5425,33,5
97,13.0061 ,77.6205,24,10
98,12.9293 ,77.7435,28,10
99,13.0658 ,77.5353,28,7
100,13.0437 ,77.7353,25,10
101,13.0725 ,77.7435,32,7
102,13.0624 ,77.6308,20,10
103,12.8504 ,77.5199,31,9
104,12.9565 ,77.5667,15,9
105,13.0645 ,77.5618,35,5
106,12.9322 ,77.6664,20,8
107,13.0000 ,77.5884,28,3
108,12.9279 ,77.5074,30,9
109,12.8461 ,77.6000,34,7
110,13.0393 ,77.6806,34,3
111,12.9735 ,77.5599,24,7
112,13.0114 ,77.5435,31,8
113,12.9876 ,77.5026,30,3
114,12.9934 ,77.6580,27,10
115,12.9801 ,77.4842,19,3
116,13.0598 ,77.6608,21,3
117,12.9180 ,77.5278,24,5
118,12.9815 ,77.5218,31,3
119,12.8402 ,77.6494,28,10
120,12.9183 ,77.5978,15,10
121,12.9051 ,77.5968,23,4
122,12.8858 ,77.5556,31,6
123,12.9967 ,77.6800,20,6
124,12.9493 ,77.6337,16,3
125,13.0910 ,77.7301,22,10
126,12.9060 ,77.6780,26,3
127,13.0813 ,77.6298,15,8
128,12.8432 ,77.6430,25,1
129,12.8998 ,77.6772,17,8
130,12.8821 ,77.5656,20,2
131,13.0085 ,77.6967,33,9
132,12.8929 ,77.6848,19,6
133,13.0254 ,77.7498,16,10
134,12.9735 ,77.7127,31,9
135,13.0300 ,77.6880,22,4
136,12.9551 ,77.5874,17,6
137,13.0925 ,77.4939,27,3
138,13.0534 ,77.6274,33,2
139,13.0896 ,77.7373,25,6
140,13.0993 ,77.5290,35,10
141,12.9355 ,77.5074,26,2
142,12.8566 ,77.6497,35,5
143,12.8519 ,77.7137,26,6
144,12.9129 ,77.5825,17,3
145,12.9954 ,77.6957,16,9
146,12.8598 ,77.6165,17,1
147,12.8929 ,77.5242,20,5
148,12.9921 ,77.5083,32,7
149,13.0205 ,77.6914,26,4
150,12.9793 ,77.7381,20,1
151,13.0034 ,77.6850,19,8
152,13.0014 ,77.6798,25,1
153,13.0775 ,77.7441,19,8
154,13.0601 ,77.5406,19,5
155,13.0336 ,77.5216,17,6
156,12.9665 ,77.6304,33,3
157,13.0385 ,77.6694,35,3
158,12.9661 ,77.5683,25,4
159,13.0680 ,77.6619,27,10
160,12.8497 ,77.5585,24,1
161,13.0053 ,77.6089,29,9
162,12.8468 ,77.5781,26,5
163,12.9287 ,77.7032,30,8
164,13.0883 ,77.5656,16,9
165,12.9739 ,77.6346,21,3
166,13.0351 ,77.7175,23,8
167,12.9021 ,77.5957,18,10
168,13.0633 ,77.5723,34,5
169,12.9028 ,77.4979,29,1
170,13.0659 ,77.6934,22,1
171,12.9271 ,77.6011,35,4
172,12.9841 ,77.5954,15,10
173,13.0062 ,77.5945,31,5
174,13.0526 ,77.4899,35,8
175,12.9361 ,77.7333,19,10
176,12.8523 ,77.4932,20,3
177,13.0287 ,77.5492,25,6
178,12.9078 ,77.6000,24,3
179,13.0134 ,77.7119,15,5
180,12.9894 ,77.7411,21,8
181,12.9081 ,77.4884,16,5
182,12.9924 ,77.5671,21,3
183,12.8896 ,77.7386,34,9
184,12.9465 ,77.6358,26,1
185,12.8428 ,77.6572,35,4
186,12.8758 ,77.6145,19,6
187,12.8883 ,77.7348,27,1
188,12.8620 ,77.7063,32,7
189,13.0275 ,77.6289,24,8
190,13.0127 ,77.5576,27,1
191,12.8511 ,77.5640,24,3
192,13.0417 ,77.6816,32,2
193,12.9358 ,77.5370,24,2
194,13.0017 ,77.5644,20,10
195,12.8826 ,77.5658,34,1
196,12.8489 ,77.6365,19,9
197,12.8589 ,77.6082,23,6
198,13.0581 ,77.6478,32,9
199,12.9504 ,77.4944,30,10
200,12.9350 ,77.6147,35,9
201,12.9509 ,77.7281,30,8
202,12.9882 ,77.6717,20,6
203,12.8521 ,77.5091,25,3
204,12.8758 ,77.4862,29,10
205,12.8429 ,77.6624,17,1
206,12.8991 ,77.6997,34,8
207,12.9879 ,77.6136,34,4
208,13.0176 ,77.5013,35,2
209,13.0566 ,77.6168,21,3
210,12.9774 ,77.6426,19,8
211,12.8577 ,77.5158,23,1
212,13.0187 ,77.5018,24,1
213,13.0727 ,77.7038,15,10
214,13.0633 ,77.7481,22,9
215,12.9749 ,77.5898,35,5
216,13.0338 ,77.6244,22,6
217,13.0922 ,77.6949,24,1
218,12.8578 ,77.6521,23,1
219,13.0108 ,77.5711,33,10
220,13.0368 ,77.7077,20,8
221,13.0681 ,77.4860,27,8
222,12.9340 ,77.6557,22,6
223,12.8490 ,77.6504,20,6
224,13.0894 ,77.5679,19,6
225,12.8675 ,77.5189,31,8
226,13.0785 ,77.7233,35,8
227,13.0439 ,77.6013,29,4
228,12.8493 ,77.4936,16,10
229,13.0329 ,77.6566,28,9
230,13.0979 ,77.7036,16,8
231,13.0109 ,77.6618,34,3
232,12.9648 ,77.6798,30,6
233,13.0706 ,77.6477,34,10
234,12.9152 ,77.7381,31,2
235,12.9942 ,77.7265,16,2
236,13.0943 ,77.7401,28,7
237,13.0723 ,77.6763,21,3
238,13.0588 ,77.5576,23,7
239,12.9560 ,77.7111,16,1
240,13.0860 ,77.6774,15,6
241,12.8524 ,77.5362,28,9
242,12.8833 ,77.7447,35,8
243,13.0917 ,77.6350,18,7
244,13.0272 ,77.7471,23,10
245,13.0493 ,77.6321,34,3
246,13.0433 ,77.4889,33,9
247,12.8416 ,77.7396,22,3
248,12.8696 ,77.7142,16,9
249,13.0314 ,77.5186,17,9
250,13.0705 ,77.6201,21,10
251,13.0615 ,77.6499,35,8
252,13.0446 ,77.5169,32,7
253,12.9151 ,77.5647,20,3
254,12.9023 ,77.6848,20,2
255,13.0655 ,77.6073,29,2
256,12.8480 ,77.6532,33,3
257,12.9532 ,77.5388,23,4
258,12.9577 ,77.7025,15,8
259,12.9044 ,77.6540,17,8
260,12.9500 ,77.6595,31,7
261,12.9386 ,77.5521,20,7
262,12.8410 ,77.7452,16,6
263,13.0561 ,77.7161,28,5
264,12.8856 ,77.5956,30,2
265,12.8772 ,77.7067,31,5
266,13.0350 ,77.5585,31,8
267,13.0722 ,77.7118,21,5
268,12.9366 ,77.5844,23,9
269,12.9409 ,77.5187,16,4
270,12.8670 ,77.5959,29,10
271,12.9043 ,77.5582,32,1
272,13.0291 ,77.6248,19,9
273,12.8665 ,77.6849,16,2
274,12.8409 ,77.6963,20,10
275,12.9136 ,77.5374,27,4
276,12.8741 ,77.5842,23,3
277,13.0122 ,77.6595,21,8
278,12.9820 ,77.7378,28,3
279,13.0377 ,77.4861,22,6
280,12.9859 ,77.5553,30,8
281,12.9871 ,77.7344,32,8
282,12.9585 ,77.6030,20,4
283,12.9467 ,77.7196,34,5
284,13.0997 ,77.7444,27,1
285,12.9795 ,77.5654,27,1
286,12.9568 ,77.5001,23,7
287,13.0550 ,77.6151,34,8
288,13.0420 ,77.5560,28,6
289,13.0006 ,77.6521,34,7
290,12.8793 ,77.6264,24,3
291,12.8917 ,77.5698,34,4
292,12.8989 ,77.5479,24,6
293,12.9203 ,77.6913,26,7
294,13.0168 ,77.5193,17,1
295,13.0039 ,77.6579,22,7
296,12.9581 ,77.6185,22,7
297,12.9279 ,77.6167,26,6
298,12.8452 ,77.6270,31,3
299,12.9500 ,77.5022,23,2
300,12.9603 ,77.5605,26,1
301,12.9025 ,77.5909,29,6
302,12.8830 ,77.5181,23,7
303,13.0165 ,77.7204,26,6
304,12.9719 ,77.5831,15,9
305,12.9806 ,77.6030,16,8
306,12.9038 ,77.4886,18,6
307,13.0109 ,77.5987,30,8
308,12.8439 ,77.7446,34,3
309,12.8994 ,77.6231,15,5
310,12.8433 ,77.7414,21,1
311,13.0569 ,77.7477,30,9
312,12.9191 ,77.5704,15,7
313,12.9709 ,77.6842,18,5
314,12.8866 ,77.5028,31,7
315,12.9659 ,77.7493,29,6
316,13.0843 ,77.4938,23,6
317,13.0586 ,77.6848,35,2
318,13.0250 ,77.5927,27,8
319,13.1005 ,77.5274,32,10
320,12.9919 ,77.5037,29,8
321,13.0529 ,77.6202,16,6
322,12.8960 ,77.6768,29,5
323,12.8488 ,77.5099,21,10
324,12.9165 ,77.4847,21,8
325,12.9520 ,77.5145,16,1
326,13.0852 ,77.5491,15,9
327,13.0061 ,77.5419,20,1
328,12.9231 ,77.7209,20,1
329,13.0949 ,77.6355,30,2
330,12.9112 ,77.4921,27,10
331,12.8703 ,77.5689,33,7
332,13.0222 ,77.7041,15,6
333,12.9446 ,77.5739,15,6
334,12.9153 ,77.6804,34,2
335,13.0269 ,77.5388,35,1
336,13.0771 ,77.5608,35,10
337,13.0416 ,77.6199,27,3
338,12.9018 ,77.5370,34,4
339,13.0809 ,77.6171,30,2
340,12.9972 ,77.6738,31,5
341,12.8712 ,77.5734,24,9
342,12.8664 ,77.5467,26,9
343,13.0158 ,77.6641,26,2
344,13.0383 ,77.5796,15,7
345,12.9812 ,77.7292,20,8
346,12.9754 ,77.6443,25,9
347,12.8849 ,77.6492,30,6
348,12.9516 ,77.5297,26,7
349,12.8939 ,77.5628,30,6
350,12.9447 ,77.5954,29,5
351,13.0453 ,77.5026,25,3
352,13.0267 ,77.7381,33,2
353,12.8526 ,77.5364,15,3
354,12.8447 ,77.5784,35,9
355,12.8522 ,77.5118,15,8
356,12.9896 ,77.7430,23,10
357,12.9594 ,77.4849,22,9
358,13.0858 ,77.6960,26,2
359,12.8632 ,77.5622,22,1
360,12.9235 ,77.7198,27,4
361,13.0882 ,77.5782,28,7
362,12.8581 ,77.5715,32,2
363,13.0036 ,77.5044,17,10
364,13.0955 ,77.5545,15,1
365,13.0246 ,77.6469,27,5
366,13.0853 ,77.6678,19,7
367,12.9322 ,77.4912,22,3
368,12.8950 ,77.5332,16,1
369,12.8678 ,77.4900,24,6
370,12.8675 ,77.5380,18,6
371,12.9720 ,77.5637,20,10
372,12.9560 ,77.5850,30,3
373,13.0823 ,77.5949,21,9
374,12.9153 ,77.6780,26,3
375,13.0121 ,77.6031,22,4
376,13.0923 ,77.5847,34,3
377,12.9768 ,77.5042,16,8
378,12.9333 ,77.5550,19,1
379,13.0001 ,77.7204,35,9
380,13.0480 ,77.7111,31,6
381,12.8713 ,77.4904,25,3
382,12.9380 ,77.6135,26,9
383,12.9030 ,77.7113,24,10
384,12.9389 ,77.5521,19,7
385,12.9877 ,77.5046,29,8
386,12.9254 ,77.5197,34,1
387,12.9846 ,77.6729,16,5
388,12.8727 ,77.6453,24,1
389,13.0195 ,77.7445,30,4
390,13.0588 ,77.7087,34,6
391,13.0088 ,77.5561,35,4
392,12.9412 ,77.7207,17,7
393,12.9606 ,77.6889,20,7
394,13.0158 ,77.5991,25,2
395,12.9474 ,77.6444,35,6
396,13.0835 ,77.5266,27,10
397,12.9818 ,77.5612,19,7
398,12.9553 ,77.4876,24,6
399,12.9033 ,77.5922,29,2
400,12.9299 ,77.7370,21,5
401,13.0075 ,77.5430,17,1
402,13.0614 ,77.5063,24,8
403,13.0874 ,77.5240,22,3
404,12.8798 ,77.6263,29,6
405,12.9113 ,77.7076,32,8
406,12.8540 ,77.6306,26,4
407,12.9818 ,77.5268,30,8
408,13.0538 ,77.6143,30,6
409,13.0231 ,77.7490,15,8
410,12.9957 ,77.6149,16,10
411,13.0215 ,77.5102,32,5
412,12.8856 ,77.5580,31,6
413,13.0365 ,77.5433,29,9
414,12.9561 ,77.5033,18,8
415,13.0041 ,77.5328,22,8
416,12.9979 ,77.6126,15,1
417,13.0164 ,77.6663,35,6
418,13.0969 ,77.5532,35,3
419,12.9506 ,77.5376,24,3
420,12.9825 ,77.6091,32,1
421,13.0139 ,77.7489,33,3
422,13.0182 ,77.5289,25,3
423,13.0660 ,77.7327,17,5
424,12.9381 ,77.5160,25,8
425,12.9825 ,77.5033,15,10
426,13.0469 ,77.6667,23,6
427,13.0133 ,77.5075,35,2
428,12.8854 ,77.7194,29,8
429,12.8430 ,77.7119,17,6
430,13.0105 ,77.5613,18,10
431,12.9654 ,77.5748,30,9
432,12.8870 ,77.6181,19,2
433,12.9971 ,77.5636,35,1
434,12.9245 ,77.5578,29,5
435,12.9763 ,77.7468,17,4
436,12.9513 ,77.5031,24,7
437,13.0443 ,77.7356,25,2
438,13.0669 ,77.5243,32,10
439,13.0367 ,77.6101,21,9
440,12.9667 ,77.4883,25,1
441,13.0171 ,77.6444,26,6
442,13.0801 ,77.6753,15,10
443,12.9076 ,77.5012,15,9
444,13.0911 ,77.7158,18,3
445,13.0768 ,77.6591,31,10
446,13.0328 ,77.6507,34,5
447,12.8503 ,77.5940,32,3
448,13.0339 ,77.7023,22,1
449,12.8878 ,77.7281,30,7
450,13.0877 ,77.5761,26,8
451,12.9908 ,77.6529,32,3
452,13.0417 ,77.5794,24,1
453,12.9171 ,77.6854,16,9
454,12.9422 ,77.6073,23,5
455,13.0103 ,77.5858,24,1
456,12.8462 ,77.6308,26,2
457,12.8563 ,77.6513,18,2
458,12.9456 ,77.5739,22,8
459,13.0785 ,77.5743,28,1
460,12.8740 ,77.7234,23,8
461,12.9514 ,77.7228,18,2
462,12.9248 ,77.6613,18,2
463,13.0054 ,77.6268,31,6
464,12.9496 ,77.6130,22,3
465,13.0974 ,77.7349,16,7
466,13.0426 ,77.5607,33,6
467,13.0911 ,77.7192,27,5
468,12.9451 ,77.6334,20,7
469,13.0488 ,77.5028,17,6
470,12.8994 ,77.7403,16,5
471,13.0530 ,77.6474,23,10
472,12.9654 ,77.6382,32,7
473,12.8516 ,77.5634,29,4
474,12.9890 ,77.6422,25,1
475,12.9812 ,77.5949,29,10
476,13.0993 ,77.5234,33,3
477,13.0566 ,77.5994,27,10
478,12.8434 ,77.6157,27,1
479,12.8877 ,77.7062,26,5
480,12.9401 ,77.5561,31,5
481,12.8767 ,77.7496,24,9
482,12.8603 ,77.5993,33,7
483,13.0192 ,77.6978,31,8
484,12.9526 ,77.5371,20,6
485,12.9796 ,77.6844,34,7
486,12.9084 ,77.6194,34,6
487,13.0066 ,77.6955,18,6
488,12.9121 ,77.6233,18,7
489,12.9404 ,77.6192,18,2
490,12.9639 ,77.6345,35,4
491,13.0444 ,77.5038,34,6
492,13.0291 ,77.5631,24,7
493,12.8547 ,77.5426,23,6
494,12.9198 ,77.5220,27,5
495,12.8554 ,77.6543,20,8
496,12.9051 ,77.5760,21,2
497,13.0532 ,77.5685,30,7
498,12.9332 ,77.6367,25,9
499,13.0231 ,77.4897,24,1
500,12.9535 ,77.7476,34,2
501,12.8971 ,77.5015,24,10
502,12.9518 ,77.6883,26,8
503,12.9039 ,77.6304,18,5
504,12.9566 ,77.6722,33,2
505,12.9335 ,77.7126,27,9
506,12.8491 ,77.5390,29,8
507,12.9852 ,77.7235,20,3
508,12.8424 ,77.7487,16,1
509,12.9292 ,77.5195,15,9
510,12.9608 ,77.5620,34,2
511,12.8623 ,77.5809,16,5
512,13.0299 ,77.5868,24,3
513,12.9243 ,77.6157,32,3
514,12.9707 ,77.6942,21,1
515,13.0072 ,77.6467,35,1
516,12.9825 ,77.5212,27,5
517,12.9544 ,77.5126,16,8
518,13.1005 ,77.5407,17,7
519,13.0239 ,77.6811,34,10
520,12.8900 ,77.5063,19,3
521,13.0382 ,77.5288,28,10
522,13.0522 ,77.6305,16,8
523,12.9046 ,77.6663,22,8
524,13.0289 ,77.6929,17,7
525,12.9724 ,77.5639,18,5
526,13.0260 ,77.6402,25,8
527,12.8994 ,77.5210,33,1
528,12.9575 ,77.6394,19,9
529,12.8648 ,77.6387,34,6
530,13.0886 ,77.5044,35,4
531,12.9035 ,77.6547,35,1
532,12.8548 ,77.7221,17,8
533,13.0612 ,77.5106,16,8
534,12.8694 ,77.5976,32,3
535,13.0860 ,77.5290,26,1
536,12.9778 ,77.7120,19,3
537,12.9553 ,77.5579,23,2
538,12.8987 ,77.4875,27,10
539,13.0139 ,77.6161,29,7
540,13.0106 ,77.4977,27,6
541,13.0376 ,77.6501,26,6
542,13.0829 ,77.6695,32,2
543,13.0819 ,77.6402,31,4
544,13.0517 ,77.5324,22,8
545,13.0343 ,77.6004,33,5
546,13.0799 ,77.6042,29,4
547,13.0061 ,77.5931,24,1
548,12.9235 ,77.5871,24,5
549,12.9007 ,77.5565,15,5
550,12.9121 ,77.6379,21,6
551,13.0781 ,77.6872,29,2
552,12.8974 ,77.5702,29,4
553,12.9334 ,77.5903,21,4
554,12.8782 ,77.5938,16,2
555,13.0975 ,77.6196,33,10
556,13.0937 ,77.5104,21,6
557,12.8494 ,77.6350,23,5
558,13.0196 ,77.6958,28,5
559,12.9328 ,77.5352,34,5
560,12.9793 ,77.6843,35,1
561,12.9269 ,77.6070,25,9
562,12.8940 ,77.6968,18,3
563,12.9517 ,77.5539,34,4
564,12.8995 ,77.5657,18,10
565,13.0951 ,77.7212,25,3
566,12.8715 ,77.7141,31,5
567,12.8807 ,77.5458,28,5
568,13.0640 ,77.6599,28,3
569,13.0112 ,77.5193,23,6
570,12.9536 ,77.5623,18,5
571,13.0610 ,77.6652,27,8
572,13.0641 ,77.5443,17,7
573,13.0833 ,77.4936,18,7
574,12.9723 ,77.6946,30,7
575,13.0987 ,77.5876,23,5
576,13.1005 ,77.7294,34,2
577,12.8740 ,77.5867,35,7
578,12.9536 ,77.6918,15,4
579,12.8501 ,77.7354,29,1
580,13.0259 ,77.6323,30,7
581,12.9896 ,77.6463,18,5
582,12.8507 ,77.5839,32,10
583,12.9728 ,77.5269,29,2
584,12.8904 ,77.5902,29,1
585,13.0905 ,77.7143,28,6
586,13.0547 ,77.6216,33,8
587,12.9802 ,77.6999,19,9
588,12.8737 ,77.5455,28,9
589,13.0829 ,77.7082,15,6
590,12.9410 ,77.5761,19,9
591,12.9135 ,77.7115,22,1
592,12.9202 ,77.5947,26,6
593,13.0111 ,77.5842,15,4
594,13.0554 ,77.7265,30,7
595,12.9467 ,77.6360,15,5
596,12.9625 ,77.7272,33,8
597,12.9603 ,77.6786,15,1
598,12.9934 ,77.5532,27,1
599,12.9192 ,77.5022,26,4
600,12.9283 ,77.6350,25,9
601,13.0177 ,77.6158,18,3
602,12.8613 ,77.5837,28,3
603,12.8614 ,77.6707,29,8
604,13.0772 ,77.6197,24,8
605,12.8409 ,77.6002,25,8
606,12.9618 ,77.7013,15,9
607,13.0064 ,77.5093,33,9
608,12.9811 ,77.5548,35,8
609,12.9306 ,77.4938,26,4
610,12.8804 ,77.5101,16,7
611,13.0536 ,77.5527,19,7
612,12.9390 ,77.6672,19,2
613,12.9309 ,77.7252,29,4
614,13.0680 ,77.5459,35,4
615,13.0020 ,77.7214,19,10
616,12.9328 ,77.5459,34,1
617,12.9305 ,77.6832,35,1
618,12.9407 ,77.5857,23,8
619,13.0429 ,77.5794,30,10
620,13.0038 ,77.6811,19,3
621,12.9810 ,77.7057,23,1
622,13.0556 ,77.6357,20,10
623,12.9940 ,77.4872,23,8
624,12.8403 ,77.6161,31,3
625,12.9180 ,77.6617,25,1
626,12.8882 ,77.6836,15,1
627,13.0171 ,77.5204,31,7
628,12.8906 ,77.5079,31,10
629,13.0941 ,77.6523,33,1
630,12.9778 ,77.7299,15,6
631,12.9105 ,77.7079,28,7
632,12.8404 ,77.6594,15,5
633,12.8662 ,77.6498,26,1
634,12.8639 ,77.5727,25,2
635,12.8620 ,77.6378,25,2
636,13.0413 ,77.6276,32,5
637,12.9323 ,77.5885,23,2
638,13.0989 ,77.7196,24,5
639,13.0456 ,77.6096,29,9
640,13.0260 ,77.6223,32,3
641,12.8835 ,77.6705,23,6
642,13.0123 ,77.5966,16,2
643,12.9282 ,77.7193,32,3
644,12.9966 ,77.7151,35,8
645,12.9911 ,77.6000,32,3
646,12.9384 ,77.6211,34,3
647,12.8502 ,77.5823,31,5
648,12.8812 ,77.6754,19,10
649,12.9474 ,77.5763,32,8
650,13.0132 ,77.5815,24,8
651,12.9419 ,77.7442,29,7
652,12.9536 ,77.7370,29,10
653,12.9399 ,77.5936,27,7
654,12.9066 ,77.5832,32,4
655,12.9642 ,77.7459,18,3
656,12.9118 ,77.5677,31,5
657,12.9159 ,77.5249,27,7
658,13.0596 ,77.5197,28,1
659,12.8809 ,77.5580,35,9
660,12.9120 ,77.7495,16,1
661,12.8651 ,77.6946,21,7
662,12.8859 ,77.5457,32,5
663,13.0078 ,77.6926,15,7
664,13.0253 ,77.7257,25,7
665,13.0536 ,77.6921,17,9
666,12.8616 ,77.6859,26,9
667,13.0969 ,77.5958,28,4
668,12.9851 ,77.6561,29,6
669,12.8889 ,77.6059,22,2
670,13.0290 ,77.5266,29,10
671,12.8749 ,77.7263,27,8
672,12.9199 ,77.7423,31,10
673,13.0301 ,77.6803,26,10
674,12.8832 ,77.6129,32,6
675,12.8713 ,77.5756,18,4
676,12.9658 ,77.5278,22,1
677,13.0267 ,77.6725,29,5
678,13.0504 ,77.6922,23,3
679,13.0545 ,77.5533,25,10
680,13.0637 ,77.5775,30,4
681,12.8802 ,77.5493,30,5
682,12.9261 ,77.5970,19,4
683,13.0914 ,77.5127,31,1
684,13.0098 ,77.5987,25,5
685,12.9473 ,77.6036,16,2
686,12.9762 ,77.7442,18,10
687,13.0474 ,77.6351,19,5
688,12.9558 ,77.7460,23,10
689,13.0666 ,77.6549,31,7
690,13.0554 ,77.5236,15,2
691,13.0999 ,77.5968,18,5
692,12.9824 ,77.4838,34,5
693,13.0110 ,77.7287,15,9
694,12.8452 ,77.5146,18,5
695,12.8851 ,77.5133,23,1
696,12.8429 ,77.6201,17,3
697,12.8721 ,77.6533,20,7
698,13.0969 ,77.6231,22,1
699,13.0152 ,77.5014,26,2
700,13.0592 ,77.6405,35,9
701,12.9731 ,77.6293,22,7
702,12.8541 ,77.4895,27,4
703,12.8750 ,77.5492,26,8
704,12.9045 ,77.7355,32,2
705,12.9132 ,77.5211,35,6
706,12.8792 ,77.5546,17,10
707,12.9721 ,77.7462,15,5
708,12.8819 ,77.5836,21,1
709,12.8960 ,77.6883,28,1
710,13.0703 ,77.5284,33,1
711,12.9772 ,77.5944,32,8
712,13.0667 ,77.7362,17,6
713,12.8621 ,77.6360,15,1
714,13.0507 ,77.6363,27,8
715,12.8799 ,77.6687,25,4
716,12.9224 ,77.5374,18,6
717,12.8477 ,77.6257,28,6
718,13.0558 ,77.7390,35,8
719,13.0341 ,77.5002,26,6
720,12.8979 ,77.5228,24,10
721,12.9291 ,77.5525,22,2
722,12.9648 ,77.7351,17,5
723,12.9476 ,77.7087,31,9
724,13.0803 ,77.5140,27,1
725,13.0962 ,77.5535,15,4
726,12.8916 ,77.6949,34,6
727,13.0617 ,77.5215,34,9
728,12.9417 ,77.6446,29,2
729,13.0300 ,77.5661,31,1
730,12.9049 ,77.7456,20,9
731,13.0386 ,77.7133,18,9
732,12.8891 ,77.5507,18,9
733,12.9056 ,77.7307,22,4
734,12.8839 ,77.6502,22,8
735,13.0318 ,77.6959,27,10
736,12.8637 ,77.7391,20,10
737,12.8423 ,77.5896,21,10
738,13.0085 ,77.7051,24,4
739,13.0351 ,77.6915,34,6
740,12.8486 ,77.5161,27,1
741,13.0974 ,77.5170,26,5
742,12.9932 ,77.7303,31,2
743,13.0523 ,77.6206,27,10
744,13.0376 ,77.6324,33,5
745,13.0652 ,77.6417,31,2
746,12.9396 ,77.7360,32,5
747,12.9998 ,77.4903,23,3
748,13.0398 ,77.7194,24,1
749,12.8835 ,77.5829,27,9
750,12.8936 ,77.5360,27,8
751,13.0267 ,77.5609,26,6
752,12.9241 ,77.5552,29,9
753,12.8654 ,77.6175,33,5
754,12.8752 ,77.5498,33,3
755,13.0617 ,77.7469,29,7
756,12.8923 ,77.6355,19,7
757,12.9981 ,77.5584,30,3
758,12.9229 ,77.6914,17,7
759,12.8920 ,77.5778,32,2
760,13.0775 ,77.5614,27,9
761,12.9642 ,77.6860,18,5
762,13.0544 ,77.7377,27,5
763,13.0721 ,77.6239,27,3
764,12.8414 ,77.6465,21,9
765,13.0302 ,77.6728,23,4
766,12.9518 ,77.5376,20,10
767,12.9429 ,77.6522,26,5
768,12.9134 ,77.7493,22,10
769,13.0285 ,77.7282,25,8
770,13.0413 ,77.5674,19,5
771,12.9486 ,77.7084,32,7
772,13.0897 ,77.6502,25,7
773,12.9019 ,77.7271,27,3
774,13.0436 ,77.6718,16,5
775,12.9159 ,77.6817,19,4
